originalKdmName,ourGameName,auditDisplayName,methodToMake,sourceExpansion,sourceLocation,sourceMonsterOrEvent,ourItemType,ourSlot,ourWeaponType,ourHands,ourKeywords,card1Text,card2Text,card3Text,card4Text,passiveEffects,statusAndMechanicsTouched,weakPointRole,harvestRole,partyRole,riskOrDrawback,implementationComplexity,sourceUrl,verificationStatus
SPIDER MASK,Spider Visage,Spider Visage (SPIDER MASK),"Unlock: crafted, quarryDiscovery | Location: Mask Maker | Source: Spidicules | Cost: 1 Silk Gland; 1 Venom Sac",Fen's Fan Expansions / Spidicules Intergration Package (SIP),Mask Maker,Spidicules,charm,head,charm,0,"Charm, Passive, Survival, Web","Spider Visage Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",Web,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Mask Maker (SIP).pdf,verified
STONE NOSES,Sable Stone Noses,Sable Stone Noses (STONE NOSES),Unlock: crafted | Location: Organ Grinder | Source: Settlement | Cost: 1 Bone,Base Game,Organ Grinder,Settlement,tool,tool,tool,0,"Tool, Harvest, Retreat","Sable Stone Noses Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Organ Grinder.pdf,verified
SUN LURE & HOOK,Noon Lure & Hook,Noon Lure & Hook (SUN LURE & HOOK),"Unlock: crafted, quarryDiscovery | Location: Sky Reef Sanctuary | Source: Sunstalker | Cost: 1 Sun Shell; 1 Solar Ichor",Expansions of Death,Sky Reef Sanctuary,Sunstalker,tool,tool,tool,0,"Tool, Harvest, Retreat, Radiant","Noon Lure Hook Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Radiant, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Sky Reef Sanctuary.pdf,verified
SUNSHARK ARROWS,Noonshark Arrows,Noonshark Arrows (SUNSHARK ARROWS),"Unlock: crafted, quarryDiscovery | Location: Sky Reef Sanctuary | Source: Sunstalker | Cost: 1 Sun Shell; 1 Radiant Eye; 1 Solar Ichor",Expansions of Death,Sky Reef Sanctuary,Sunstalker,weapon,weapon,bow,1,"Ranged, Marking, Precise, Radiant","Noonshark Arrows Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Noonshark Arrows Shot — Cost 1 Attack. [Damage: 7; Break: 6] Deal 7 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Noonshark Arrows Pinning Volley — Cost 2 Attack. [Damage: 6 x2; Status: Snared 1] Deal 6 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile eye/radiant weak point improves harvest quality odds.,Radiant,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Sky Reef Sanctuary.pdf,verified
SUNSHARK BOW,Noonshark Bow,Noonshark Bow (SUNSHARK BOW),"Unlock: crafted, quarryDiscovery | Location: Sky Reef Sanctuary | Source: Sunstalker | Cost: 1 Sun Shell; 1 Radiant Eye; 1 Solar Ichor",Expansions of Death,Sky Reef Sanctuary,Sunstalker,weapon,weapon,bow,2,"Ranged, Marking, Precise, Radiant","Noonshark Bow Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Noonshark Bow Shot — Cost 1 Attack. [Damage: 7; Break: 6] Deal 7 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Noonshark Bow Pinning Volley — Cost 2 Attack. [Damage: 6 x2; Status: Snared 1] Deal 6 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile eye/radiant weak point improves harvest quality odds.,Radiant,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Sky Reef Sanctuary.pdf,verified
SUNSPOT DART,Noonspot Dart,Noonspot Dart (SUNSPOT DART),"Unlock: crafted, quarryDiscovery | Location: Sky Reef Sanctuary | Source: Sunstalker | Cost: 1 Sun Shell; 1 Radiant Eye; 1 Solar Ichor",Expansions of Death,Sky Reef Sanctuary,Sunstalker,weapon,weapon,bow,1,"Ranged, Marking, Precise, Radiant","Noonspot Dart Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Noonspot Dart Shot — Cost 1 Attack. [Damage: 7; Break: 6] Deal 7 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Noonspot Dart Pinning Volley — Cost 2 Attack. [Damage: 6 x2; Status: Snared 1] Deal 6 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile eye/radiant weak point improves harvest quality odds.,Radiant,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Sky Reef Sanctuary.pdf,verified
SUNSPOT LANTERN,Noonspot Lantern,Noonspot Lantern (SUNSPOT LANTERN),"Unlock: crafted, quarryDiscovery | Location: Sky Reef Sanctuary | Source: Sunstalker | Cost: 1 Sun Shell; 1 Solar Ichor",Expansions of Death,Sky Reef Sanctuary,Sunstalker,tool,tool,consumable,0,"Tool, Survival, Retreat, Radiant","Noonspot Lantern Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"One-use effect for a difficult hunt, retreat, condition clear, or risky power spike.","Radiant, Retreat",Uses consumable weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Sky Reef Sanctuary.pdf,verified
SURVIVOR'S LANTERN,Pale Survivor's Lantern,Pale Survivor's Lantern (SURVIVOR'S LANTERN),Unlock: crafted | Location: Exhausted Lantern Hoard | Source: Settlement | Cost: 1 Bone,Base Game,Exhausted Lantern Hoard,Settlement,tool,tool,consumable,0,"Tool, Survival, Retreat","Pale Survivor s Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"One-use effect for a difficult hunt, retreat, condition clear, or risky power spike.",Retreat,Uses consumable weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Exhausted Lantern Hoard.pdf,verified
SWITCH POLEAXE,Ashen Switch Poleaxe,Ashen Switch Poleaxe (SWITCH POLEAXE),"Unlock: crafted, quarryDiscovery | Location: Cotton Mill | Source: Spurkulese | Cost: 1 Cotton Fibre; 1 Soft Hide; 1 Muscled Fang",Fen's Fan Expansions / Spurkulese,Cotton Mill,Spurkulese,weapon,weapon,axe,1,"Heavy, Brutal, Harvest","Ashen Switch Poleaxe Hew — Cost 1 Attack. [Damage: 9; Break: 6] Deal 9 damage. If targeting Body/Hide/Shell, deal +3 break damage. Fragile overkill worsens harvest quality.",Ashen Switch Poleaxe Split — Cost 1 Attack. [Damage: 7; Status: Bleed 2] Deal 7 damage. Apply Bleed 2 if this damages HP. Bleed decays after dealing damage each turn.,"Ashen Switch Poleaxe Overhead — Cost 2 Attack. [Damage: 12; Exhaust] Deal 12 damage. If the monster has block, remove all block first. Exhaust.",,Breaker: +2 break damage against hide/shell/bone/horn weak points; fragile overkill risk still applies.,Harvest,Uses axe weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Spurkulese/KDM - Cotton Mill.pdf,verified
SWORD & SHIELD,Blade & Guard,Blade & Guard (SWORD & SHIELD),"Unlock: crafted, quarryDiscovery | Location: Cotton Mill | Source: Spurkulese | Cost: 1 Cotton Fibre; 1 Muscled Fang",Fen's Fan Expansions / Spurkulese,Cotton Mill,Spurkulese,weapon,weapon,sword,1,"Precise, Marking, Counter","Blade Guard Cut — Cost 1 Attack. [Damage: 6] Deal 6 damage. If this is your second attack this turn, deal +2.","Blade Guard Marking Stroke — Cost 1 Attack. [Damage: 5; Break: 3; Status: Marked] Deal 5 damage and apply Marked. If targeting a weak point, +2 break damage.",Blade Guard Measured Finish — Cost 2 Attack. [Damage: 10 / +4 conditional] Deal 10 damage. Deal +4 if the monster is below half HP or the weak point is Open.,,Adds a balanced Marked-payoff weapon card package; weapon proficiency improves its weak-point and harvest role.,,Uses sword weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Spurkulese/KDM - Cotton Mill.pdf,verified
TABARD,Gutter Tabard,Gutter Tabard (TABARD),Unlock: promoOrEvent | Location: Anywhere | Source: Promo/Anywhere | Event: promo/vignette/settlement/hunt event table | Cost: No listed cost / event reward,Promo Cards,Anywhere,Promo/Anywhere,body,body,banner,0,"Support, Party, Survival",Gutter Tabard Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Gutter Tabard Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Party Support: once per hunt, when this survivor uses a support card, the next ally gains +1 Survival. Source tie: Promo/Anywhere.","Party, Support",Uses banner weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Promo Cards/KDM - Anywhere (promos).pdf,verified
TALON KNIFE,Ashen Talon Knife,Ashen Talon Knife (TALON KNIFE),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,weapon,weapon,dagger,1,"Quick, Precise, Harvest, Fire","Ashen Talon Knife Feint — Cost 0 Attack. [Damage: 5; Break: 5; Status: Apply Burn 2] Deal 5 damage. If targeting a fragile weak point, deal +2 break damage. Apply Burn 2.","Ashen Talon Knife Carve — Cost 1 Attack. [Damage: 7; Break: 4] Deal 7 damage. If the target is Marked, improve harvest quality one step on a weak-point break. If this is the second card this survivor played this turn, draw 1 then discard 1. If targeting a Head, Eye or Organ weak point, improve harvest quality one step on a break.","Ashen Talon Knife Close Work — Cost 1 Skill. [Status: Marked] Mark the selected weak point and gain 1 Survival. If this survivor is wounded, draw 1.",,Precision Harvest: first clean break against a fragile burning organ weak point improves harvest quality odds.,"Fire, Harvest",Uses dagger weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
THE BEATLE BOMB,Kindled The Beatle Bomb,Kindled The Beatle Bomb (THE BEATLE BOMB),"Unlock: crafted, quarryDiscovery | Location: Wet Resin Crafter | Source: Dung Beetle Knight | Cost: 1 Chitin Plate; 1 Beetle Horn",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Wet Resin Crafter,Dung Beetle Knight,tool,tool,consumable,0,"Tool, Survival, Retreat, Crystal","Kindled Beatle Bomb Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"One-use effect for a difficult hunt, retreat, condition clear, or risky power spike.",Retreat,Uses consumable weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Wet Resin Crafter.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Wet Resin Crafter (Fen's Dagger Emporium).pdf,verified
THE THREE,Mourning The Three,Mourning The Three (THE THREE),"Unlock: crafted, quarryDiscovery | Location: Cotton Mill | Source: Spurkulese | Cost: 1 Cotton Fibre; 1 Muscled Fang",Fen's Fan Expansions / Spurkulese,Cotton Mill,Spurkulese,tool,arms,tool,0,"Tool, Harvest, Retreat","Mourning Three Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Spurkulese/KDM - Cotton Mill.pdf,verified
THORN,Mourning Thorn,Mourning Thorn (THORN),"Unlock: crafted, quarryDiscovery | Location: Blood Crafter | Source: Rose Knight | Cost: 1 Rose Petal; 1 Rose Sinew",Fen's Fan Expansions / Rose Knight,Blood Crafter,Rose Knight,tool,tool,instrument,0,"Support, Party, Panic",Mourning Thorn Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Mourning Thorn Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Party Support: once per hunt, when this survivor uses a support card, the next ally gains +1 Survival. Source tie: Rose Knight.","Panic, Party, Support",Uses instrument weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Rose Knight/KDM - Blood Crafter.pdf,verified
THROWING KNIFE,Pale Throwing Knife,Pale Throwing Knife (THROWING KNIFE),"Unlock: crafted, quarryDiscovery | Location: Silk Mill | Source: Spidicules | Cost: 1 Silk Gland; 1 Chitin Thread; 1 Venom Sac",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Silk Mill,Spidicules,weapon,weapon,bow,1,"Ranged, Marking, Precise, Web","Pale Throwing Knife Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Pale Throwing Knife Shot — Cost 1 Attack. [Damage: 5; Break: 5] Deal 5 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Pale Throwing Knife Pinning Volley — Cost 2 Attack. [Damage: 4 x2; Status: Snared 1] Deal 4 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile web/limb weak point improves harvest quality odds.,Web,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Silk Mill.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Silk Mill (Fen's Dagger Emporium).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Silk Mill (SIP).pdf,verified
TROM BONE (HUNT PHASE),Blackglass Trom Bone (Hunt Phase),Blackglass Trom Bone (Hunt Phase) (TROM BONE (HUNT PHASE)),Unlock: crafted | Location: Hunting Hall | Cost: 1 Bone; 1 Sinew,Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,tool,0,"Tool, Harvest, Retreat",Blackglass Trom Bone Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Blackglass Trom Bone Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
TROM BONE (SHOWDOWN PHASE),Kindled Trom Bone (Showdown Phase),Kindled Trom Bone (Showdown Phase) (TROM BONE (SHOWDOWN PHASE)),Unlock: crafted | Location: Hunting Hall | Cost: 1 Bone; 1 Sinew,Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,tool,0,"Tool, Harvest, Retreat",Kindled Trom Bone Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Kindled Trom Bone Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
VAGABOND ARMOR SET,Roadless Armor Set,Roadless Armor Set (VAGABOND ARMOR SET),Unlock: promoOrEvent | Location: Anywhere | Source: Promo/Anywhere | Event: promo/vignette/settlement/hunt event table | Cost: No listed cost / event reward,Promo Cards,Anywhere,Promo/Anywhere,set,set,armor,0,"Defensive, Party, WoundCare",Roadless Armor Set Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Roadless Armor Set Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Promo Cards/KDM - Anywhere (promos).pdf,verified
VESPERTINE ARROW,Bone-Lit Vespertine Arrow,Bone-Lit Vespertine Arrow (VESPERTINE ARROW),"Unlock: crafted, quarryDiscovery | Location: Sense Memory | Source: Slenderman | Cost: 1 Bone; 1 Hide; 1 Sinew",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Sense Memory,Slenderman,weapon,weapon,bow,1,"Ranged, Marking, Precise","Bone Lit Vespertine Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Bone Lit Vespertine Shot — Cost 1 Attack. [Damage: 5; Break: 5] Deal 5 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Bone Lit Vespertine Pinning Volley — Cost 2 Attack. [Damage: 4 x2; Status: Snared 1] Deal 4 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Sense Memory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Sense Memory (Fen's Dagger Emporium).pdf,verified
VESPERTINE BOW,Gutter Vespertine Bow,Gutter Vespertine Bow (VESPERTINE BOW),"Unlock: crafted, quarryDiscovery | Location: Sense Memory | Source: Slenderman | Cost: 1 Bone; 1 Hide; 1 Sinew",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Sense Memory,Slenderman,weapon,weapon,bow,2,"Ranged, Marking, Precise","Gutter Vespertine Bow Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Gutter Vespertine Bow Shot — Cost 1 Attack. [Damage: 5; Break: 5] Deal 5 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Gutter Vespertine Bow Pinning Volley — Cost 2 Attack. [Damage: 4 x2; Status: Snared 1] Deal 4 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Sense Memory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Sense Memory (Fen's Dagger Emporium).pdf,verified
VESPERTINE CELLO,Pale Vespertine Cello,Pale Vespertine Cello (VESPERTINE CELLO),"Unlock: crafted, quarryDiscovery | Location: Sense Memory | Source: Slenderman | Cost: 1 Bone; 1 Sinew",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Sense Memory,Slenderman,tool,tool,instrument,0,"Support, Party, Panic",Pale Vespertine Cello Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Pale Vespertine Cello Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Party Support: once per hunt, when this survivor uses a support card, the next ally gains +1 Survival. Source tie: Slenderman.","Panic, Party, Support",Uses instrument weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Sense Memory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Sense Memory (Fen's Dagger Emporium).pdf,verified
VESPERTINE FOIL,Gutter Vespertine Foil,Gutter Vespertine Foil (VESPERTINE FOIL),"Unlock: crafted, quarryDiscovery | Location: Sense Memory | Source: Slenderman | Cost: 1 Bone; 1 Sinew",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Sense Memory,Slenderman,tool,tool,tool,0,"Tool, Harvest, Retreat","Gutter Vespertine Foil Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Sense Memory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Sense Memory (Fen's Dagger Emporium).pdf,verified
